Date,Close,Open,High,Low,Vol.,Change %
12/17/14,14.94,14.82,14.98,14.65,88.67M,1.29%
12/18/14,14.89,15.2,15.22,14.66,154.76M,-0.33%
12/19/14,14.99,14.85,15.08,14.78,174.18M,0.67%
12/22/14,15.33,15.1,15.37,15.1,80.08M,2.27%
12/23/14,15.31,15.35,15.37,15.16,54.37M,-0.13%
12/24/14,15.15,15.32,15.35,15.14,30.36M,-1.05%
12/26/14,15.45,15.25,15.54,15.19,57.88M,1.98%
12/29/14,15.6,15.39,15.71,15.33,60.18M,0.97%
12/30/14,15.52,15.5,15.7,15.47,41.86M,-0.51%
12/31/14,15.52,15.58,15.65,15.5,41.16M,0.00%
1/2/15,15.43,15.63,15.74,15.35,55.76M,-0.58%
1/5/15,15.11,15.35,15.42,15.04,55.48M,-2.07%
1/6/15,14.76,15.11,15.15,14.62,70.38M,-2.32%
1/7/15,14.92,14.88,15.06,14.77,52.81M,1.08%
1/8/15,15.02,15.02,15.16,14.81,61.77M,0.67%
1/9/15,14.85,15.07,15.14,14.83,51.85M,-1.13%
1/12/15,14.57,14.88,14.93,14.46,68.43M,-1.89%
1/13/15,14.74,14.87,15.07,14.66,82.73M,1.17%
1/14/15,14.66,14.6,14.8,14.33,110.77M,-0.54%
1/15/15,14.35,14.7,14.8,14.34,88.38M,-2.11%
1/16/15,14.54,14.31,14.54,14.26,69.56M,1.32%
1/20/15,14.47,14.63,14.67,14.32,61.50M,-0.48%
1/21/15,14.86,14.48,15.3,14.36,201.30M,2.70%
1/22/15,15.52,15,15.61,15,107.25M,4.44%
1/23/15,15.62,15.4,15.85,15.39,89.93M,0.64%
1/26/15,15.48,15.59,15.65,15.38,63.39M,-0.90%
1/27/15,15.34,15.31,15.51,15.13,58.41M,-0.90%
1/28/15,15.2,15.49,15.58,15.19,61.28M,-0.91%
1/29/15,15.59,15.24,15.64,14.97,173.13M,2.57%
1/30/15,17.73,17.32,17.98,17.04,477.12M,13.73%
2/2/15,18.22,17.5,18.25,17.5,204.64M,2.76%
2/3/15,18.18,18.01,18.39,18.01,124.25M,-0.22%
2/4/15,18.24,17.92,18.38,17.91,83.40M,0.33%
2/5/15,18.69,18.3,18.94,18.3,144.95M,2.47%
2/6/15,18.71,18.74,18.8,18.55,77.85M,0.11%
2/9/15,18.53,18.55,18.72,18.36,54.49M,-0.96%
2/10/15,18.65,18.56,18.71,18.43,45.74M,0.65%
2/11/15,18.76,18.56,18.86,18.55,55.73M,0.59%
2/12/15,18.86,18.75,18.93,18.66,55.82M,0.53%
2/13/15,19.09,18.92,19.15,18.85,69.50M,1.22%
